id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement
3253500160,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000
3394100030,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0
3717000160,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0
1274500060,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0
1802000060,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600
1525059190,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700
1049000060,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0
8820901275,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500
5416510140,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0
3444100400,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700
3276920270,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040
4036801170,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880
2391600320,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0
6300000287,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500
1531000030,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0
5104520400,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0
7437100340,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0
9418400240,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010
1523059105,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0
1133000671,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0
4232902595,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240
2599001200,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0
3342103156,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790
1332700270,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0
3869900162,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265
2791500270,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0
5036300431,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0
4168000060,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0
6021501535,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290
6021501535,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290
1483300570,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910
3422049190,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0
1099611230,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0
722079104,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600
7338200240,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0
1952200240,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800
5200100125,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540
7214720075,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0
2450000295,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0
6197800045,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0
1328310370,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880
546000875,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500
3530510041,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0
1853000400,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0
3134100116,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0
9545230140,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0
3362400511,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560
2525310310,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380
6126500060,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000
8961960160,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710
3626039325,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600
3362400431,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0
4060000240,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0
3454800060,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0
1695900060,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0
7278700070,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840
6675500070,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0
3626039187,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0
3524049083,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380
3275860240,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0
4389200955,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770
4058801670,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480
8732020310,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800
2331300505,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600
7853210060,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0
3668000070,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0
9545240070,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570
1243100136,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490
8929000270,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620
2767602356,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0
921049315,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0
3655000070,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010
4027700812,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250
3992700335,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0
2767603505,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0
4232901525,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0
1777500060,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270
1432900240,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600
6140100875,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120
6071600370,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650
1526069017,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0
809001525,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180
3224079105,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0
8075400570,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130
1994200024,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450
3362900810,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0
1324300398,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0
537000445,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0
7855801670,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640
7920100045,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0
8960000030,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0
6388930390,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460
8731900200,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020
8029200135,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0
1081200350,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0
84000105,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030
3756500060,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0
7215720160,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0
3574800520,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750
2617300160,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010
2558660270,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400
2009000370,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640
1836980160,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0
3261020370,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070
1755700060,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0
4330600435,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0
9542800700,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490
1999700045,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0
1762600070,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310
1687900520,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0
7234600798,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300
3881900445,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650
2254502445,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0
5437810320,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630
9158100075,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290
3830630310,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0
8123100045,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700
3127200041,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0
6661200320,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0
11510310,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990
825059270,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000
8731951370,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390
1954440060,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0
2264500350,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0
1115810060,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800
9477200200,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430
1432600560,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0
2287000060,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0
3663500060,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760
3996900125,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0
7796450200,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0
7549802535,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840
3278600320,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0
2824079053,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0
1222069094,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0
3542300060,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0
2222059065,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0
7551300060,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0
100600550,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400
3211100860,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0
3456000310,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850
9526600140,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0
7465900060,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0
1222000055,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0
6300000550,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700
2310030510,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0
1025049114,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210
8677300550,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0
4014400292,465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,0
1102000196,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0
257000138,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0
46100204,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430
1909600046,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0
1250202145,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950
7611200125,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0
5611500140,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0
7138000260,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400
626059335,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0
1922059282,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440
705700390,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0
7454001200,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0
8682281200,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0
7972000200,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600
722059070,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450
7202340400,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0
8096000060,655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220
2424000060,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0
9264902050,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160
943100260,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0
3677400445,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860
1762600320,1025000.0,5,4.0,3760,28040,2.0,0,0,3,10,3760,0
4058000060,416000.0,3,2.0,2220,94300,1.0,0,0,5,7,1640,580
7228500560,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300
326069104,800000.0,3,3.5,3830,221284,2.0,0,0,3,10,3530,300
5152100060,472000.0,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060
3584000310,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0
8150100045,210000.0,2,1.0,830,6000,1.0,0,0,3,6,830,0
1868901275,455000.0,2,1.0,1430,5000,1.5,0,0,2,7,1430,0
6131600075,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0
9468200125,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240
8029510030,363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0
2025069065,2400000.0,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820
7899800890,181000.0,2,1.5,720,5120,1.0,0,0,3,6,720,0
3021059276,250000.0,4,2.0,2010,7312,1.0,0,0,4,7,2010,0
3797001895,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790
3832710960,260000.0,3,2.0,1810,7209,1.0,0,0,4,7,1240,570
1310430400,455000.0,4,2.5,3360,7685,2.0,0,0,3,9,3360,0
1422300030,415000.0,3,2.25,1510,36224,2.0,0,0,3,8,1510,0
1105000588,349500.0,3,1.0,1400,3538,1.0,0,0,3,7,800,600
3830630060,245000.0,3,2.5,1730,7442,2.0,0,0,3,7,1730,0
5101404898,592500.0,2,2.0,1420,9191,1.5,0,2,5,7,1420,0
7972601890,385000.0,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180
5127001620,315000.0,3,1.75,1580,11455,1.0,0,0,4,7,1200,380
9407100800,255000.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0
1873100060,693000.0,4,2.5,2460,4425,2.0,0,0,3,8,2460,0
8722101360,780000.0,3,1.0,1660,4400,1.5,0,0,3,8,1460,200
8644000060,237000.0,3,1.75,1270,8470,1.0,0,0,4,7,1270,0
3325069129,525000.0,3,2.25,2100,40510,2.0,0,0,3,10,1320,780
1400300055,425000.0,2,1.0,770,5040,1.0,0,0,3,5,770,0
2123039032,369900.0,1,0.75,760,10079,1.0,1,4,5,5,760,0
8078560140,290000.0,4,2.5,1700,7280,2.0,0,0,4,7,1700,0
3438500192,285000.0,3,1.0,1120,10701,1.0,0,0,3,7,1120,0
7974200510,415000.0,2,1.0,1070,4500,1.0,0,0,3,7,1070,0
2557000400,272500.0,3,2.5,2070,9900,1.0,0,0,3,8,1420,650
7960900060,2900000.0,4,3.25,5050,20100,1.5,0,2,3,11,4750,300
4054500390,1365000.0,4,4.75,5310,57346,2.0,0,0,4,11,5310,0
6378500125,436000.0,2,1.0,1040,7538,1.0,0,0,4,7,1040,0
1745100140,210000.0,3,1.0,1700,11390,1.0,0,0,4,7,1700,0
2976800796,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0
4235400186,331000.0,3,1.75,1080,1306,1.0,0,0,3,7,580,500
4215100060,365000.0,3,2.5,2653,4510,2.0,0,0,3,8,2653,0
9189700045,450000.0,3,2.0,2290,16258,1.0,0,0,5,8,2290,0
1126049053,770000.0,4,2.75,3820,26300,2.0,0,0,3,9,2850,970
2022069200,455000.0,4,2.5,2210,49375,1.0,0,0,3,8,2210,0
9412900055,405000.0,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150
1722059235,304900.0,4,1.75,2600,11325,1.0,0,0,4,7,1610,990
6874200960,170000.0,2,1.0,860,5265,1.0,0,0,3,6,860,0
7424700045,2050000.0,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200
7202360350,780000.0,4,2.5,3500,7048,2.0,0,0,3,9,3500,0
5634500392,330000.0,3,3.0,2420,13959,1.0,0,0,4,8,1740,680
1509500060,370000.0,4,2.5,2720,8666,2.0,0,0,3,9,2720,0
7214810350,467000.0,5,2.25,2500,13500,1.0,0,0,3,7,1850,650
6647200060,405000.0,3,1.75,1670,6720,1.0,0,0,3,7,1140,530
9552700140,675000.0,5,2.25,2900,10300,1.0,0,0,3,8,1450,1450
2200500350,500000.0,2,1.0,1640,14100,1.0,0,0,4,7,1140,500
6113400046,389999.0,4,2.5,1890,15770,2.0,0,0,4,7,1890,0
6619910140,630000.0,4,1.75,2950,9025,1.0,0,2,4,8,1780,1170
1115450240,360000.0,4,2.5,2160,9528,2.0,0,0,3,9,2160,0
6073240060,580000.0,4,3.0,3280,11060,2.0,0,0,3,8,2270,1010
9297300045,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700
9510920070,879000.0,4,2.5,3360,22111,2.0,0,0,3,10,3360,0
5468730030,265000.0,3,2.0,1320,8959,1.0,0,0,3,7,1320,0
8079030390,446500.0,3,2.5,2650,7286,2.0,0,0,3,8,2650,0
600000152,404000.0,3,1.5,2030,8880,1.0,0,0,3,7,1330,700
1840000030,267500.0,3,1.75,1590,11914,1.0,0,2,3,7,1090,500
3225069065,3075000.0,4,5.0,4550,18641,1.0,1,4,3,10,2600,1950
3260800030,335000.0,3,2.5,2440,7632,2.0,0,0,3,8,2440,0
2747100024,576000.0,3,2.5,1940,9000,1.0,0,0,4,7,970,970
5104530560,208633.0,3,2.5,2040,3810,2.0,0,0,3,8,2040,0
4330600350,315000.0,3,2.25,2200,8750,1.0,0,0,4,7,1120,1080
5016001535,725000.0,3,1.75,1920,3300,1.0,0,0,4,8,960,960
7280300196,550000.0,4,2.75,1800,7750,1.0,0,0,4,8,1400,400
8651520400,610750.0,4,2.25,2180,7297,2.0,0,0,3,8,2180,0
7171200445,550700.0,2,1.0,1010,5000,1.5,0,0,4,6,1010,0
3204800200,665000.0,4,2.75,3320,10574,2.0,0,0,5,8,2220,1100
3416600800,834000.0,4,2.5,2370,4000,1.5,0,2,5,8,1980,390
7994700030,201000.0,5,1.75,1660,78408,1.5,0,0,3,6,1660,0
1860600135,2384000.0,5,2.5,3650,9050,2.0,0,4,5,10,3370,280
4139480200,1384000.0,4,3.25,4290,12103,1.0,0,3,3,11,2690,1600
4139480200,1400000.0,4,3.25,4290,12103,1.0,0,3,3,11,2690,1600
1328320800,305000.0,4,2.25,1950,7700,1.0,0,0,3,8,1350,600
7771300125,487000.0,3,2.0,2590,14052,1.0,0,0,5,8,1720,870
3422059208,390000.0,3,2.5,1930,64904,1.0,0,0,4,8,1930,0
9521101455,548000.0,2,1.0,1470,3864,1.0,0,0,4,7,1170,300
4337000335,268750.0,4,1.0,800,8775,1.0,0,0,3,6,800,0
325059286,819900.0,5,2.75,3150,7119,2.0,0,0,3,9,3150,0
2597650240,520000.0,3,2.25,2030,16200,2.0,0,0,3,8,2030,0
3353400435,230000.0,3,2.0,1450,11204,1.0,0,0,3,7,1450,0
7972000240,240000.0,3,1.75,1510,10248,1.0,0,0,3,7,1510,0
7520000520,232000.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280
7520000520,240500.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280
3530210260,274975.0,3,2.5,3030,45004,2.0,0,0,3,9,3030,0
1959700550,740000.0,4,2.0,2050,4400,1.5,0,0,4,9,2050,0
1665400045,186375.0,3,1.0,1000,7636,1.0,0,0,2,7,1000,0
9542850320,790000.0,3,2.25,2370,10289,1.0,0,0,4,9,1590,780
3179100060,880000.0,4,3.5,2800,6750,2.0,0,0,3,9,1890,910
2946001550,279000.0,6,1.75,2240,11180,2.0,0,0,4,7,2240,0
8078490390,295000.0,3,2.0,1810,10530,1.0,0,2,3,8,1810,0
9550201550,640000.0,2,1.0,1070,5000,1.0,0,0,3,7,1070,0
191100045,940000.0,4,2.0,2490,9525,2.0,0,0,5,9,2490,0
5009600070,260000.0,4,2.5,1960,5238,2.0,0,0,3,7,1960,0
200350070,559900.0,3,2.75,2930,5569,1.0,0,0,3,9,1860,1070
2877103726,791500.0,4,2.0,1510,3500,1.5,0,0,5,7,1510,0
405100295,265000.0,3,1.75,1420,8250,1.0,0,0,3,7,1420,0
4268200055,245000.0,3,1.75,1740,11547,1.0,0,0,3,7,1740,0
3126069068,485000.0,4,1.75,2560,43995,2.0,0,0,4,7,2560,0
1115300070,684000.0,4,3.5,3040,8414,2.0,0,0,3,9,2420,620
6414100671,425000.0,3,1.75,2500,6840,1.0,0,0,3,8,1300,1200
7004200060,309600.0,4,1.75,1275,20000,1.0,0,0,4,6,1275,0
7852110140,552250.0,4,2.5,2580,5823,2.0,0,0,3,8,2580,0
3969300030,165000.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0
3969300030,239900.0,4,1.0,1000,7134,1.0,0,0,3,6,1000,0
4048400070,320000.0,2,1.0,1070,32633,1.0,0,0,4,6,1070,0
808000070,206600.0,3,2.0,1390,13464,1.0,0,0,4,7,1390,0
7374200030,387000.0,4,1.75,2500,7690,1.0,0,0,3,7,1250,1250
7325600160,299000.0,1,0.75,560,12120,1.0,0,0,3,4,560,0
2757000030,855000.0,4,2.75,2270,10460,2.0,0,0,3,9,2270,0
616000140,315000.0,3,1.0,1900,14400,1.0,0,0,4,7,1300,600
3363900111,437500.0,2,1.0,990,3120,1.0,0,2,5,7,790,200
9262800171,252000.0,4,1.5,1550,19800,1.0,0,0,4,7,1050,500
6607000126,375000.0,4,1.75,2200,7475,1.0,0,0,5,7,1100,1100
